"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","year","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","individualCount","occurrenceRemarks","recordedBy","month","day","preparationType","identifiedBy","yearIdentified","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","county","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","typeStatus","previousCatalogNumber","sex"
"1","2021-08-02 18:45:28-03","YPM","YPM-ENT","YPM ENT 581923","PreservedSpecimen","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anopheles","albimanus","Anopheles albimanus","Wiedemann","1988","South America","Colombia","Bogota Department","Bogota","-74.183333","4.25","1","ENT number 581923; lot count 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-08-02 18:45:28-03","YPM","YPM-ENT","YPM ENT 581897","PreservedSpecimen","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anopheles","albimanus","Anopheles albimanus","Wiedemann","1988","South America","Colombia","Bogota Department","Bogota","-74.183333","4.25","1","ENT number 581897; lot count 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-08-02 18:45:28-03","YPM","YPM-ENT","YPM ENT 581906","PreservedSpecimen","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anopheles","albimanus","Anopheles albimanus","Wiedemann","1988","South America","Colombia","Bogota Department","Bogota","-74.183333","4.25","1","ENT number 581906; lot count 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-08-02 18:45:28-03","YPM","YPM-ENT","YPM ENT 581905","PreservedSpecimen","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anopheles","albimanus","Anopheles albimanus","Wiedemann","1988","South America","Colombia","Bogota Department","Bogota","-74.183333","4.25","1","ENT number 581905; lot count 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-08-02 18:45:28-03","YPM","YPM-ENT","YPM ENT 581904","PreservedSpecimen","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anopheles","albimanus","Anopheles albimanus","Wiedemann","1988","South America","Colombia","Bogota Department","Bogota","-74.183333","4.25","1","ENT number 581904; lot count 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-08-02 18:45:28-03","YPM","YPM-ENT","YPM ENT 581903","PreservedSpecimen","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anopheles","albimanus","Anopheles albimanus","Wiedemann","1988","South America","Colombia","Bogota Department","Bogota","-74.183333","4.25","1","ENT number 581903; lot count 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-08-02 18:45:28-03","YPM","YPM-ENT","YPM ENT 581902","PreservedSpecimen","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anopheles","albimanus","Anopheles albimanus","Wiedemann","1988","South America","Colombia","Bogota Department","Bogota","-74.183333","4.25","1","ENT number 581902; lot count 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-08-02 18:45:28-03","YPM","YPM-ENT","YPM ENT 581901","PreservedSpecimen","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anopheles","albimanus","Anopheles albimanus","Wiedemann","1988","South America","Colombia","Bogota Department","Bogota","-74.183333","4.25","1","ENT number 581901; lot count 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-08-02 18:45:28-03","YPM","YPM-ENT","YPM ENT 581900","PreservedSpecimen","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anopheles","albimanus","Anopheles albimanus","Wiedemann","1988","South America","Colombia","Bogota Department","Bogota","-74.183333","4.25","1","ENT number 581900; lot count 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-08-02 18:45:28-03","YPM","YPM-ENT","YPM ENT 581899","PreservedSpecimen","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anopheles","albimanus","Anopheles albimanus","Wiedemann","1988","South America","Colombia","Bogota Department","Bogota","-74.183333","4.25","1","ENT number 581899; lot count 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-08-02 18:45:28-03","YPM","YPM-ENT","YPM ENT 581895","PreservedSpecimen","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anopheles","albimanus","Anopheles albimanus","Wiedemann","1988","South America","Colombia","Bogota Department","Bogota","-74.183333","4.25","1","ENT number 581895; lot count 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-08-02 18:45:28-03","YPM","YPM-ENT","YPM ENT 581892","PreservedSpecimen","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anopheles","albimanus","Anopheles albimanus","Wiedemann","1988","South America","Colombia","Bogota Department","Bogota","-74.183333","4.25","1","ENT number 581892; lot count 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-08-02 18:45:28-03","YPM","YPM-ENT","YPM ENT 581891","PreservedSpecimen","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anopheles","albimanus","Anopheles albimanus","Wiedemann","1988","South America","Colombia","Bogota Department","Bogota","-74.183333","4.25","1","ENT number 581891; lot count 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-08-02 18:45:28-03","YPM","YPM-ENT","YPM ENT 581907","PreservedSpecimen","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anopheles","albimanus","Anopheles albimanus","Wiedemann","1988","South America","Colombia","Bogota Department","Bogota","-74.183333","4.25","1","ENT number 581907; lot count 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-08-02 18:45:28-03","YPM","YPM-ENT","YPM ENT 581908","PreservedSpecimen","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anopheles","albimanus","Anopheles albimanus","Wiedemann","1988","South America","Colombia","Bogota Department","Bogota","-74.183333","4.25","1","ENT number 581908; lot count 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-08-02 18:45:28-03","YPM","YPM-ENT","YPM ENT 581909","PreservedSpecimen","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anopheles","albimanus","Anopheles albimanus","Wiedemann","1988","South America","Colombia","Bogota Department","Bogota","-74.183333","4.25","1","ENT number 581909; lot count 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
